#Event Number   e2s             e3s             
88761           0.0411934       0.0261875       
88891           0.0817475       0.0429493       
89001           0.131428        0.0624507       
89193           0.099762        0.0204262       
89246           0.103872        0.0293606       
89429           0.129409        0.0537795       
89438           0.0250586       0.108693        
89694           0.0278619       0.0423477       
89699           0.0302584       0.0881951       
89878           0.0727009       0.118708        
90014           0.0834108       0.0950211       
90026           0.140975        0.0858862       
90092           0.077647        0.110544        
90150           0.0545889       0.113878        
90160           0.120275        0.075224        
90275           0.0614622       0.01464         
90423           0.0639142       0.0667854       
90466           0.0688925       0.0995572       
90553           0.0860975       0.10639         
90661           0.0861997       0.0610183       
90719           0.0401097       0.0362159       
90964           0.0985869       0.0623647       
91136           0.0380147       0.185993        
91198           0.0103895       0.0801348       
91224           0.0250166       0.125015        
91248           0.0649405       0.0763008       
91353           0.0653439       0.0286698       
91504           0.0345359       0.106272        
91634           0.161138        0.0625936       
91727           0.10261         0.154012        
91790           0.0566205       0.0739514       
91860           0.100363        0.0161749       
